merchant_category,raw_pinball_p10,raw_pinball_p50,raw_pinball_p90,raw_coverage,cal_pinball_p10,cal_pinball_p50,cal_pinball_p90,cal_coverage,mean_q_hat,percat_pinball_p10,percat_pinball_p50,percat_pinball_p90,percat_coverage,percat_fallback_pct,ordering_violations,n_merchant_folds,n_days_total
overall,15892.4084,40020.4235,27788.5406,0.7766,15977.6327,40020.4235,28413.5701,0.8312,11463.1536,16204.3038,40020.4235,28149.468,0.8411,0.0,0.0,165.0,2310.0
d2c_ecommerce,13276.0493,38244.6241,25747.6228,0.7614,11877.8324,38244.6241,26677.289,0.8166,11463.1536,12866.9028,38244.6241,27916.7638,0.8442,0.0,0.0,44.0,616.0
food_delivery,5060.3234,10622.0889,14534.017,0.8377,5944.8474,10622.0889,15489.5286,0.8723,11463.1536,5158.4095,10622.0889,14602.7135,0.8485,0.0,0.0,33.0,462.0
marketplace,40622.1509,100103.0204,62875.2615,0.7403,40601.4976,100103.0204,62726.3856,0.7565,11463.1536,42073.6358,100103.0204,62089.811,0.8328,0.0,0.0,44.0,616.0
saas_subscription,1903.0888,3762.3769,4683.6301,0.7825,2978.1573,3762.3769,5530.0668,0.8896,11463.1536,1956.7937,3762.3769,4601.8952,0.8409,0.0,0.0,44.0,616.0
